y,dep_delay,arr_delay,distance
329,4,20,1416
370,-4,-8,760
390,-1,-9,529
406,-3,-18,1023
420,-3,-14,1076
420,2,44,2475
433,2,21,719
452,-4,3,1416
456,-3,4,209
480,0,8,1020
480,5,12,1069
490,0,11,1029
495,-4,-26,628
490,7,17,340
500,0,-40,1598
500,1,24,2446
435,71,51,1089
525,-5,-39,1598
539,-8,-3,488
545,-8,-13,502
540,-2,-8,502
546,-2,-19,1085
545,0,40,1521
540,14,15,404
630,1,-22,2586
645,-1,19,725
659,-5,-13,762
653,6,-9,2227
715,-8,8,397
720,-7,-39,2475
720,-5,-12,1076
718,10,38,1428
770,-2,0,1416
772,-1,16,1069
810,-3,-17,2475
815,-2,0,828
835,-5,-14,273
837,-4,24,799
795,40,46,445
834,2,11,733
870,-7,-15,229
829,35,65,569
875,-2,-8,1020
895,-10,-10,733
900,-6,-1,209
897,-2,1,1182
900,-3,-4,529
901,-2,0,463
910,-3,3,665
918,-6,-18,944
930,-2,6,888
930,-1,-4,544
970,-10,-17,94
950,13,12,740
955,12,20,209
899,88,80,1005
996,-6,-30,1028
977,14,13,199
995,-3,14,719
999,6,16,445
1030,-9,11,1521
1020,2,16,1416
1020,8,32,1411
1040,-6,0,740
1065,-6,3,502
1109,-4,14,529
1046,70,94,569
862,260,263,266
1150,-1,-12,2248
1160,-5,-19,1990
1045,129,151,765
1200,-8,-11,2475
1215,-7,-4,479
1195,31,45,711
1235,-5,12,1428
1199,51,45,427
1260,-5,-5,1023
1260,-2,25,642
1290,-10,-2,1076
1295,-7,-24,2475
1305,24,21,1028
360,-2,23,762
360,24,43,762
390,2,1,2454
390,7,-6,2153
405,-4,-5,950
420,-6,-59,2586
425,-9,34,1147
445,-3,-41,2402
465,-2,1,94
395,79,75,199
479,-4,-2,762
500,-2,1,2446
507,-7,12,828
510,-4,-13,888
515,-8,-6,762
515,-7,-15,213
511,-2,-16,246
484,46,65,946
540,-3,-29,502
503,35,48,2565
539,1,2,1874
526,29,9,1634
560,-1,-5,1389
568,1,3,1726
564,9,2,1010
600,0,-18,2133
615,0,-17,2248
630,-2,3,746
633,-2,-14,282
655,-4,-9,1389
659,-3,2,762
660,-4,-8,213
660,-4,-14,214
695,-9,-4,1080
700,-1,-9,1085
720,-4,-11,937
720,-4,-26,200
720,-2,-19,200
725,3,46,746
732,-3,11,1605
720,36,47,764
780,-2,-4,1085
749,71,96,529
760,65,47,1089
790,42,38,277
794,67,60,169
839,29,20,1023
840,29,18,762
825,46,51,2133
803,75,85,946
885,-3,-1,213
880,11,32,502
900,-2,-5,529
870,30,-2,2402
900,0,-5,184
895,11,-1,1089
910,-3,-13,665
898,15,11,1504
899,16,13,719
920,-4,3,738
915,6,4,1400
945,-2,0,1029
960,0,12,765
929,33,35,605
980,-2,9,1400
990,-1,-39,2425
1000,-7,-3,1074
985,18,10,937
1000,22,18,502
1020,8,7,1416
1049,-2,-18,1089
1040,9,19,1400
1046,11,14,569
1065,-6,-44,2446
1069,0,-5,228
1065,5,5,711
1004,75,69,209
1079,4,-2,404
1085,0,10,479
1080,8,12,733
1109,4,11,1065
1115,-1,-24,2465
1125,-5,-31,187
1125,-1,10,2586
1135,3,-9,544
1138,4,7,1023
1150,-6,-11,2248
1155,-5,-26,1005
1160,-1,-4,2153
1175,-11,-20,1389
1169,-5,13,1010
1222,31,-25,2565
1270,15,9,160
1305,-3,-5,1028
1315,-5,-4,427
330,2,20,1416
360,-8,-2,502
360,-3,-5,1028
360,-1,0,488
390,-5,15,1183
395,-8,-34,2133
390,-3,-31,2153
390,-2,12,544
394,-1,40,1504
410,-12,-23,292
420,-7,-27,2586
419,-4,3,762
420,-5,6,214
425,-4,-48,2434
396,28,14,1065
435,1,10,2586
460,0,-10,997
490,-5,13,762
495,-4,-8,2248
509,-4,-25,2475
514,-6,2,937
515,-4,11,762
507,24,14,284
538,-3,17,1092
540,-3,2,746
540,0,16,997
545,-4,-11,228
540,4,-8,502
595,-6,-9,94
599,-4,-9,2153
615,-3,5,1416
585,29,14,733
643,9,11,1023
660,-2,-9,213
674,7,-20,1620
705,0,12,1010
720,-7,2,213
765,-5,-7,187
764,-3,-13,502
780,3,-12,719
835,13,-10,2422
795,56,51,282
869,8,9,1035
879,14,3,1068
900,-6,-38,2475
900,-2,-3,212
897,6,16,1069
918,18,11,944
810,174,175,760
995,-4,-14,719
995,-2,-52,2133
1005,-7,-7,569
980,24,22,764
990,15,-33,2586
1010,2,-47,2446
1000,18,-1,502
1030,-5,-23,1598
1035,-6,-2,950
1040,-1,4,1076
1045,5,1,1400
1050,2,-27,2153
1040,15,21,740
1042,36,27,277
1080,-2,-17,427
1050,33,28,488
1080,9,15,187
1095,-3,-24,2569
1095,4,3,200
1110,-10,8,488
1108,15,36,602
1109,20,31,1372
1110,45,10,2586
1160,-4,-30,733
1157,1,14,748
1170,16,13,1076
1180,11,16,1005
1185,9,-7,828
1200,4,-9,1068
1235,-2,-21,200
1136,106,111,1416
1195,54,44,711
1240,16,30,937
1170,90,75,419
1258,2,4,209
1260,11,21,950
1235,38,45,1428
1235,53,38,1585
1370,8,0,209
325,-5,-7,1400
360,-3,0,944
375,-4,-10,541
393,-4,1,416
405,1,-38,1620
420,15,-21,2475
450,-6,-11,1389
450,-3,-50,2586
450,-2,-18,746
456,-4,4,209
479,-6,-25,284
479,2,3,544
497,-2,-16,1010
490,20,46,340
525,-3,-7,1598
535,-4,-26,488
540,-2,20,1089
540,-2,-12,2475
540,-2,-8,502
525,23,42,1005
545,19,21,1521
598,-8,-24,733
623,2,0,762
630,-2,2,2475
642,-3,-12,725
660,-5,-12,213
660,10,-4,185
675,-5,-12,479
718,4,2,1428
720,5,-45,2586
740,12,-3,711
745,12,0,169
780,-17,-18,479
771,-3,-18,1416
780,-5,-23,733
876,-2,-13,199
890,-1,-9,425
886,4,12,1416
895,-3,-19,733
899,6,-5,719
900,10,20,479
795,120,109,116
925,0,-5,213
930,-1,-10,711
899,38,43,1076
955,-4,-4,1010
895,60,46,1065
970,-7,-16,335
960,3,-6,1096
975,-5,-18,1020
976,0,-18,533
1000,1,-13,1389
897,114,98,1182
1025,-8,-20,1416
1025,-2,-22,1372
1030,-6,-11,544
1015,19,-20,2475
1065,0,-7,950
1065,0,-23,2454
1065,12,-5,725
1088,-5,-2,404
1095,-7,-29,2402
1100,-1,-39,2454
1110,0,-17,2422
1135,-1,39,1020
1140,-5,-17,762
1078,65,49,719
1145,2,-5,1017
1165,-8,-23,1096
1170,-8,-39,541
1165,-3,6,228
1125,76,47,2576
1155,51,35,1134
1176,38,33,229
1200,17,-8,2475
1230,0,-10,1182
1245,-9,-42,213
1229,16,9,2454
1152,96,55,1990
1275,-1,7,937
1265,14,14,277
1259,47,19,1585
1370,0,-2,209
315,1,5,1400
360,-5,-19,762
361,-4,-23,2475
370,-2,-13,1096
375,1,-8,541
390,-3,-13,1598
407,-3,-7,301
405,6,-18,1620
405,21,28,950
442,3,-6,169
455,-4,-2,264
441,11,7,944
460,-6,-8,2422
465,-3,-14,1608
475,-2,-22,1096
479,-4,-15,544
495,-8,-14,479
360,128,112,719
495,-6,-17,1005
475,25,11,185
479,23,20,209
535,-7,0,488
550,-3,8,266
550,-1,-26,1634
560,-7,-20,544
570,-9,-7,264
569,-4,-22,199
570,-4,-9,733
560,19,22,2454
595,28,8,94
660,-3,-18,213
690,-2,-11,2475
690,4,-5,872
706,-5,-7,266
690,11,5,937
720,-9,-33,2475
720,0,18,1400
740,-8,-20,888
720,12,23,200
740,2,-17,719
745,-2,-10,301
765,-3,-8,738
780,3,-11,719
804,-1,-9,1598
795,8,8,950
497,327,308,1010
835,5,-12,2422
851,-6,-17,762
855,-6,-19,746
850,0,12,1416
870,-2,-8,2586
877,-6,-4,1041
870,14,-24,2586
890,-4,-18,944
920,-2,-7,228
929,7,5,284
945,-5,-23,96
940,10,-1,264
960,-5,-28,1626
960,0,5,762
960,10,2,1008
975,0,-14,1605
980,-1,-19,2153
997,-5,1,733
1038,-8,-24,277
1020,23,-1,290
1049,-1,-20,2402
1080,-5,-31,1020
1078,-2,14,1092
1065,14,0,2454
1080,0,-27,292
1110,-10,-26,419
1135,-6,-19,544
1139,-1,-8,997
1139,17,23,1372
1120,37,16,719
1160,-1,-14,427
1160,17,-11,2153
1180,1,5,1005
1200,-7,-24,589
1205,-3,0,937
1229,0,4,997
1255,-5,2,502
1298,-2,-12,246
1439,-2,-5,1576
360,-2,9,1069
360,-1,10,1005
380,-6,-19,529
345,44,94,1576
395,1,0,1389
420,-4,-27,2475
420,9,3,1096
440,-4,-28,502
440,6,5,1023
460,-3,-1,997
475,-7,-13,1096
480,4,-4,2133
485,3,10,541
495,0,-8,1005
505,-6,-10,213
510,9,6,711
527,2,-7,1416
540,-1,-32,1605
540,0,-13,762
540,5,14,2475
554,-1,-12,872
550,6,-6,404
559,-2,11,187
600,-5,21,1065
600,0,-16,2586
615,-3,-10,1416
630,-4,3,431
620,9,0,1389
675,21,18,266
720,-2,-7,2475
720,0,-15,2565
723,-1,2,1400
720,3,34,541
750,17,13,533
779,1,4,264
825,-7,-10,1096
804,16,6,1598
795,33,42,950
877,-6,8,1041
875,-3,-10,1107
875,-3,-8,1035
875,2,-7,229
883,-2,-8,1504
900,-2,-18,1096
905,13,34,820
897,21,34,1182
950,-7,-8,1990
959,0,-4,1008
975,-4,-19,427
990,-6,-15,502
1000,-4,-4,502
1000,0,-7,888
960,41,51,1065
1008,-1,-1,719
1015,-7,-39,1521
1005,5,-15,963
1025,-7,-17,1372
1020,0,-30,2586
1030,2,-7,544
1040,-6,7,431
1045,6,14,1400
1020,33,28,1416
1055,3,1,764
1070,16,27,937
1100,-7,-32,2454
1110,-10,-20,419
1078,39,61,1092
1080,43,36,187
1140,-2,-19,2475
1150,-2,-9,431
1165,-5,2,950
1160,2,-6,427
1169,21,33,569
1205,-10,4,647
1215,13,1,187
1230,-1,-15,397
1205,40,31,937
1243,11,9,1585
1239,25,28,1023
1175,114,86,425
1280,97,94,1626
340,-9,-23,1089
361,-2,-14,725
368,-5,-7,200
360,10,-2,94
390,-3,-11,1620
360,28,30,1069
399,0,-34,1504
420,-10,6,1096
415,-2,-28,1182
425,-9,-39,1147
420,-2,-49,2475
420,0,9,214
430,-2,-7,1598
425,4,-15,2227
440,-5,6,738
440,-5,-16,502
465,-5,-7,733
465,-4,-44,2586
467,-2,-25,2586
475,-5,-21,1096
480,-1,-15,937
495,-4,-27,1005
480,11,-14,2133
515,-8,-18,544
540,-4,-11,1089
545,-3,-7,1076
570,-8,-16,264
560,16,-29,1372
580,0,-15,1096
595,-9,-35,1726
590,-2,-24,738
565,34,16,1605
615,0,-14,541
630,-3,-20,746
650,2,-1,1076
660,0,-10,2586
509,152,133,445
660,6,-9,888
660,13,1,762
700,2,42,1076
720,-7,-45,2475
741,5,-36,2565
755,-8,-12,427
660,104,64,2565
771,-2,-14,1416
760,10,2,502
770,1,5,1620
800,-3,-22,872
780,24,4,719
827,7,-24,1400
855,23,8,569
880,-1,-4,1085
892,0,23,502
895,-3,14,301
910,-7,-11,665
884,24,0,1504
917,9,-3,997
930,-3,-2,284
955,11,-12,740
960,16,0,1089
979,-1,-10,199
975,5,-16,427
995,-11,-18,1074
995,-5,-14,708
995,-3,-25,200
990,2,-13,1400
995,10,-13,1411
980,28,23,937
1005,5,-25,2475
955,58,40,2227
990,27,32,445
1025,-7,-27,872
1030,-4,-20,169
1025,7,12,1416
1020,22,12,290
1045,3,6,2586
1049,1,-11,1089
1080,-8,-2,169
1078,12,12,719
1140,-6,-7,748
1135,1,-24,2576
1140,-1,-15,719
1130,11,-23,2586
1150,-4,-7,431
1150,-2,-28,1990
1135,14,12,1598
1165,-4,6,950
989,178,168,1035
1175,-5,-17,1325
1200,-2,-19,589
1225,-3,-39,2475
1230,-5,-18,1005
1242,1,-16,872
1260,-4,-6,184
360,-6,4,214
365,-4,-4,502
370,-4,-4,1598
370,-3,-10,1028
375,-3,6,760
394,-4,8,529
390,1,-12,1598
395,6,-2,2565
405,5,-15,1372
420,-8,-20,1096
425,-9,-7,1147
450,-1,-24,2475
450,0,-19,2586
470,-15,-28,340
473,-6,-24,1020
475,-6,-8,1096
480,-3,-17,1069
490,-4,2,944
490,-3,-16,187
480,15,17,2133
490,8,-2,200
509,-3,-15,284
510,0,10,1620
540,-11,-37,1416
544,-5,20,404
525,27,43,277
590,0,-20,738
600,-1,-2,1065
540,75,58,950
592,31,24,748
660,-3,2,762
689,-4,-7,1074
704,-6,11,266
595,109,132,94
750,4,-22,738
760,-2,-24,502
765,-6,-13,277
790,-5,-19,200
795,-8,-15,502
735,59,50,284
805,-8,-5,431
815,-1,-19,1035
840,-8,0,184
858,-3,-21,719
875,-14,-33,1107
882,-2,-2,1092
930,-6,-13,483
928,-2,4,284
885,50,63,1605
940,12,8,264
960,-4,-4,187
970,-7,-18,733
970,-1,5,2248
989,-8,26,946
1005,-10,1,488
995,1,-15,541
976,24,34,533
990,14,16,1400
1020,-4,-12,184
1020,0,-13,2248
1030,-6,-2,544
917,118,109,997
1020,15,-6,200
1045,-1,-9,937
1050,15,6,488
1079,-3,19,1092
1080,-2,2,187
1090,-2,9,1096
1105,-7,10,96
1115,8,-10,184
1140,-3,-14,762
1140,0,-25,335
1165,-1,-23,228
1160,13,-31,2153
1180,-1,-4,483
1165,38,50,1096
1180,40,35,1076
1175,49,53,1389
1245,-15,-23,200
1260,-6,-14,184
1267,-11,-9,642
1295,-5,24,2475
330,-6,6,1416
360,-6,-16,94
360,-5,-15,1389
385,-8,-1,282
390,-8,-19,529
385,-3,-12,169
394,-8,-5,1085
390,4,22,645
405,-5,-18,301
455,-5,-16,1041
472,-7,-24,1400
479,-6,8,762
487,-5,-2,541
510,-4,-37,1598
530,-11,-19,419
535,-8,4,488
540,-6,-20,502
539,-1,5,762
545,-7,-1,502
540,19,7,950
535,28,16,1521
583,-8,4,746
595,-11,-8,762
600,-1,-24,1065
600,-1,-16,184
620,-6,-7,1389
630,0,-11,2586
643,-1,13,1400
650,-3,-8,416
660,-3,-5,213
675,-10,-9,479
690,-7,-14,937
694,-8,-10,1020
720,-7,21,2475
732,-7,-32,2133
741,-10,-13,533
755,-5,-7,427
780,-6,5,762
780,-5,-10,569
765,20,25,1389
788,-1,-7,762
840,-6,0,214
815,28,22,1035
845,-1,0,1005
870,-3,-3,569
876,-7,-15,199
885,-4,-2,200
886,0,22,1416
902,-2,-4,284
905,-4,-11,213
906,-5,-7,719
929,-6,-28,200
940,0,-31,1069
945,-5,-15,419
940,5,-7,740
950,0,-7,665
920,33,20,228
