y,dep_delay,arr_delay,distance
370,3,4,1074
390,-1,-19,185
441,-2,5,944
450,-5,12,1372
450,-1,-26,2586
449,3,2,1080
465,-6,-12,733
459,0,26,1400
475,-1,33,1620
490,-3,0,760
495,-5,-28,1035
495,-4,10,529
510,-1,-8,2475
515,-5,-13,762
520,-8,-24,431
539,-4,-2,762
540,12,21,1089
559,4,-4,187
570,-3,-26,1080
570,2,-6,2248
593,-6,-17,273
675,-6,-23,1096
720,-5,-3,213
725,-7,10,1389
745,-6,-9,1183
767,-6,-13,199
778,-1,-9,2465
780,-3,4,479
779,3,-2,187
802,-4,-18,116
780,23,43,1969
795,56,66,1065
860,-1,7,719
850,12,18,419
875,1,20,2586
877,38,52,1041
870,50,60,1372
897,27,27,1028
893,38,34,199
945,-3,-21,2446
960,-8,-8,765
960,-8,18,1391
960,-2,7,1065
965,-3,-4,1107
965,-2,28,431
975,-5,-3,1020
961,10,29,2133
990,-2,-16,1626
917,82,96,725
1010,-9,-34,187
975,35,56,1010
1004,10,-1,209
1010,7,41,872
1040,5,24,1400
1050,0,14,762
1066,-4,-24,950
1079,-2,-15,762
1080,3,20,541
1090,16,2,1096
1109,-2,9,1605
1116,4,12,301
1005,131,127,2475
1175,42,47,425
1230,5,-28,2454
1250,11,-6,187
1270,-7,-32,2248
1257,11,-14,2565
1170,109,142,1017
1320,-2,-13,169
1315,14,23,427
1290,116,73,2248
360,-6,-16,1069
360,0,0,944
360,0,12,725
375,-3,-7,1598
370,11,-3,1096
390,-8,-10,1020
390,-4,17,529
370,20,27,1074
395,6,9,746
395,6,33,1389
405,2,15,529
420,-5,-5,1096
425,-4,18,1183
485,-1,-31,2434
495,-4,-5,1005
495,0,-2,479
480,19,24,2248
515,-8,18,1620
525,-4,70,301
540,3,-7,2475
560,-6,8,544
510,49,57,605
493,75,84,820
580,1,22,1035
600,-2,-32,937
585,19,-7,2475
659,-3,26,1023
660,-3,-48,2586
689,1,-23,1608
705,-4,3,746
710,-5,-2,1020
720,1,-41,2586
720,4,1,2475
724,25,31,820
765,-5,-55,1990
780,-2,-2,479
779,-1,-1,719
780,5,2,733
800,-2,-2,2454
804,7,-6,1598
815,4,12,1047
835,-3,-34,2422
839,5,-10,187
518,334,323,937
840,29,14,1076
870,1,1,1416
862,52,41,266
850,69,65,419
960,1,29,187
630,337,368,2586
975,-3,9,1010
970,7,20,733
975,13,23,1020
995,-3,-10,2133
975,19,1,1089
1045,-6,2,765
1065,-3,28,1389
1014,55,54,266
1015,66,49,340
1095,-5,-7,185
1110,-5,-51,2422
1130,-1,-11,2586
1095,52,45,1620
1150,10,0,431
1065,109,116,1080
1172,8,-25,2402
1185,-1,19,589
1170,25,16,427
1215,-12,-23,94
1230,-6,8,397
1230,-5,7,1182
1215,10,6,479
1245,-4,-15,733
1240,1,4,828
1205,39,31,866
1290,-2,25,1076
1290,0,-17,2248
1345,-7,-9,269
1170,175,252,1325
1365,-8,-17,273
1260,119,110,762
1285,108,100,213
1289,125,111,266
345,-2,-13,1576
360,-7,-3,1069
360,-5,-8,719
365,-2,4,169
370,-4,32,1074
375,-3,11,746
